2019-05-31 17:07:00 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 35,10; Parcels:      0; Health: 110.0; Health Usage: 110.0; Fuel: 205.0; Tile: ROAD
2019-05-31 17:07:00 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 35,11; Parcels:      0; Health: 110.0; Health Usage: 110.0; Fuel: 204.0; Tile: ROAD
2019-05-31 17:07:00 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 35,12; Parcels:      0; Health: 110.0; Health Usage: 110.0; Fuel: 203.0; Tile: ROAD
2019-05-31 17:07:00 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 35,13; Parcels:      0; Health: 110.0; Health Usage: 110.0; Fuel: 202.0; Tile: ROAD
2019-05-31 17:07:00 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 35,14; Parcels:      0; Health: 110.0; Health Usage: 110.0; Fuel: 201.0; Tile: ROAD
2019-05-31 17:07:00 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 35,15; Parcels:      0; Health: 110.0; Health Usage: 110.0; Fuel: 200.0; Tile: ROAD
2019-05-31 17:07:00 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 35,16; Parcels:      0; Health: 105.0; Health Usage: 110.0; Fuel: 199.0; Tile: TRAP(lava)
2019-05-31 17:07:00 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 35,17; Parcels:      0; Health: 100.0; Health Usage: 110.0; Fuel: 198.0; Tile: TRAP(lava)
2019-05-31 17:07:00 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 35,18; Parcels:      0; Health: 100.0; Health Usage: 110.0; Fuel: 197.0; Tile: ROAD
2019-05-31 17:07:00 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 36,18; Parcels:      0; Health: 100.0; Health Usage: 110.0; Fuel: 196.0; Tile: ROAD
2019-05-31 17:07:01 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 37,18; Parcels:      0; Health: 100.0; Health Usage: 110.0; Fuel: 195.0; Tile: ROAD
2019-05-31 17:07:01 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 38,18; Parcels:      0; Health: 100.0; Health Usage: 110.0; Fuel: 194.0; Tile: ROAD
2019-05-31 17:07:01 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 39,18; Parcels:      0; Health: 100.0; Health Usage: 110.0; Fuel: 193.0; Tile: ROAD
2019-05-31 17:07:01 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 40,18; Parcels:      0; Health: 100.0; Health Usage: 110.0; Fuel: 192.0; Tile: ROAD
2019-05-31 17:07:01 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 40,17; Parcels:      0; Health:  95.0; Health Usage: 110.0; Fuel: 191.0; Tile: TRAP(lava)
2019-05-31 17:07:01 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 40,16; Parcels:      0; Health:  90.0; Health Usage: 110.0; Fuel: 190.0; Tile: TRAP(lava)
